,polarity,subjectivity,length
160,1.0,1.0,18
161,1.0,1.0,35
162,1.0,1.0,50
163,1.35,1.65,82
164,1.1363636363636362,1.4545454545454546,21
165,0.0,2.0,103
166,1.0,1.1,34
167,1.1363636363636362,1.4545454545454546,63
168,1.0,1.0,51
169,1.0,1.0,51
170,1.0,1.0,50
171,1.0,1.0,85
172,0.9,1.25,72
173,1.55,1.95,69
174,1.0,1.0,68
175,1.15625,1.75,57
176,1.05625,1.35,45
177,1.2833333333333332,1.512962962962963,81
178,1.1363636363636362,1.5,97
179,1.084848484848485,1.2606060606060607,53
180,1.0,1.0,63
181,1.0,1.0,55
182,1.0,1.0,63
183,1.0,1.0,73
184,0.2857142857142857,1.8571428571428572,53
185,1.0,1.0,39
186,1.0,1.0,29
187,1.0,1.0,63
188,1.0,1.0,61
189,1.0,1.0,72
190,0.9,2.0,45
191,0.9702380952380952,1.3869047619047619,63
192,1.0,1.0,52
193,1.0,1.5,47
194,1.0,1.0,77
195,1.0,1.0,35
196,1.0,1.0,22
197,1.1883116883116882,1.5562770562770563,64
198,1.0,1.0,56
199,1.1363636363636362,1.4545454545454546,56
200,0.4,1.8,109
201,0.8,1.6,45
202,1.0,1.0,55
203,1.0,1.0,70
204,1.25,1.375,47
205,1.0,1.0,60
206,1.0,1.0,36
207,1.25,1.3333333333333333,51
208,1.2,1.3,30
209,1.0,1.0,31
210,1.0,1.0,50
211,1.2,1.3,67
212,1.0,1.0,58
213,1.0,1.0,70
214,1.0,1.0,64
215,1.0,1.1,48
216,1.0,1.0,43
217,1.0,1.0,61
218,1.0,1.1666666666666667,64
219,1.3333333333333333,1.5,49
220,1.0,1.0,65
221,1.0,1.0,69
222,1.0,1.0,63
223,1.0,1.0,70
224,1.0,1.0,37
225,1.0,1.0,28
226,1.0,1.0,33
227,1.0,1.0,70
228,1.0,1.375,133
229,1.0,1.0,58
230,1.0,1.0,79
231,0.4,2.0,59
232,1.2348484848484849,1.5606060606060606,60
233,1.0,1.0,65
234,1.1,1.1,64
235,0.9,1.3333333333333333,84
236,0.95,1.4,98
237,1.1,1.4,92
238,1.35,1.3,86
239,1.5,1.8333333333333335,94
240,1.0,1.1666666666666667,94
241,1.0,1.0,39
242,0.8115384615384615,1.4346153846153846,86
243,1.0,1.0,63
244,1.0,1.0,49
245,1.425,1.5,32
246,0.6681818181818182,1.6272727272727274,118
247,0.8,1.3,76
248,1.0,1.0,53
249,1.0,1.0,68
250,1.1363636363636362,1.4545454545454546,29
251,1.084848484848485,1.2833333333333332,86
252,1.0148148148148148,1.4407407407407409,92
253,1.1,1.3,101
254,1.0787878787878789,1.2598484848484848,50
255,1.2,1.2,74
256,0.8287878787878787,1.7015151515151516,39
257,1.0,1.5,59
258,0.5166666666666666,1.5833333333333335,73
259,1.1363636363636362,1.4545454545454546,50
260,1.0,1.0,53
261,1.0,1.0,21
262,1.0,1.0,89
263,0.6621212121212121,1.6348484848484848,67
264,1.05,1.35,62
265,1.0,1.0,89
266,1.0,1.0,55
267,1.0,1.0,69
268,1.0,1.0,68
269,1.0958333333333334,1.4375,89
270,1.0,1.0,26
271,1.0,1.0,50
272,1.0,1.0,36
273,1.0,1.5,70
274,1.0,1.0,73
275,1.0,1.0,48
276,1.0,1.0,56
277,0.925,1.4,58
278,1.4333333333333333,1.8333333333333335,58
279,0.9825396825396825,1.4206349206349207,74
280,1.0,1.0,66
281,1.2166666666666668,1.5166666666666666,35
282,1.0,1.0,43
283,1.0,2.0,69
284,1.0,1.0,71
285,1.0,1.0,97
286,0.19999999999999996,1.8,86
287,1.1363636363636362,1.4545454545454546,73
288,0.8,1.05,41
289,1.0,1.0,24
290,1.0,1.0,47
291,0.85,1.4,63
292,0.5,1.9,74
293,0.19999999999999996,2.0,83
294,0.8444444444444444,1.288888888888889,45
295,1.25,1.7,49
296,0.8181818181818181,1.6772727272727272,39
297,0.8125,1.5,62
298,0.75,1.5,77
299,1.0,1.0,40
300,1.0,1.0,77
301,1.0,1.0,47
302,1.3333333333333333,1.5,96
303,1.0,1.0,68
304,1.0,1.0,83
305,1.0,1.0,68
306,1.1787878787878787,1.4181818181818182,97
307,1.5,2.0,86
308,1.1363636363636362,1.4545454545454546,58
309,1.0,1.0,48
310,1.0,1.0,47
311,1.0,1.0,69
312,1.0,1.0,58
313,0.7,1.35,103
314,1.0,1.0,46
315,1.0,1.0,87
316,1.0,1.0,69
317,1.4,1.25,55
318,1.0,1.0,63
319,1.3,1.6,55
320,1.0,1.0,21
321,1.0,1.0,39
322,1.0,1.6,31
323,1.0,1.0,46
324,1.375,1.725,82
325,0.7681818181818182,1.725,44
326,1.2454545454545456,1.4515151515151514,65
327,1.0,1.0,58
328,1.0,1.0,41
329,1.0,1.0,75
330,1.1,1.3,96
331,1.1,1.4,104
332,1.0,1.0,68
333,0.4,2.0,91
334,1.1,1.9,48
335,1.0,1.3333333333333333,74
336,1.0,1.0,59
337,1.1363636363636362,1.4545454545454546,75
338,0.7666666666666667,1.5666666666666667,80
339,1.0,1.0,57
340,1.05,1.5499999999999998,74
341,0.7,1.4,54
342,0.95625,1.35,34
343,1.0,2.0,107
344,1.25,1.3333333333333333,82
345,0.9583333333333334,1.625,43
346,1.15,1.95,46
347,1.2142857142857142,1.6428571428571428,47
348,0.875,1.625,93
349,0.8,1.05,32
350,1.1,1.1,77
351,1.018181818181818,1.3272727272727272,83
352,0.4,1.9,102
353,1.0,1.55,68
354,1.4166666666666667,1.5833333333333335,54
355,1.65,1.75,30
356,1.0,1.0,48
357,0.8,1.8,76
358,1.0,1.0,61
359,1.0,1.0,43
360,1.0,1.0,80
361,1.3666666666666667,1.7000000000000002,79
362,1.6,1.9,52
363,1.1041666666666667,1.75,48
364,1.25,2.0,72
365,1.0,1.0,95
366,1.2,1.3,40
367,1.0,1.0,74
368,0.875,1.775,51
369,1.1,1.1,93
370,1.0,1.0,38
371,1.0,1.0,34
372,0.98989898989899,1.295959595959596,80
373,1.0,1.0,96
374,1.0,1.0,56
375,1.0,1.0,32
376,1.0,1.0,60
377,1.4,1.4,56
378,1.0,1.0,91
379,1.4,1.8,41
380,1.8,1.75,19
381,0.6,1.7,64
382,1.1111111111111112,1.511111111111111,63
383,1.0,1.0,86
384,0.85,1.55,82
385,1.0,1.0,84
386,0.8,1.0,18
387,0.6,1.55,71
388,1.05,1.775,88
389,1.162121212121212,1.5015151515151515,53
390,1.0,1.0,89
391,0.9,1.4,44
392,1.0,1.0,45
393,1.0,1.0,96
394,2.0,2.0,66
395,0.75,1.25,72
396,1.0,1.0,93
397,1.0,1.0,60
398,1.0,1.0,70
399,1.0,1.0,59
400,0.5,1.5,50
401,1.0,1.0,43
402,1.1,1.3,94
403,0.85,1.8833333333333333,87
404,0.75,1.8,67
405,1.0,1.0,56
406,1.0,1.0,43
407,1.1,1.75,71
408,1.425,1.875,25
409,1.0,1.1428571428571428,61
410,1.0,1.0,57
411,1.0,1.0,43
412,0.85,1.6,54
413,1.3,2.0,65
414,0.75,1.7,65
415,1.0,1.0666666666666667,40
416,0.9666666666666667,1.2,73
417,1.0333333333333334,1.0666666666666667,82
418,1.1363636363636362,1.4545454545454546,116
419,1.1,1.2,94
420,1.0,1.0,57
421,1.0,1.0,69
422,1.0,1.0,56
423,1.0,1.0,56
424,1.0,1.0,82
425,1.55,1.95,49
426,1.6222222222222222,1.8833333333333333,70
427,1.0,1.0,51
428,1.1363636363636362,1.4545454545454546,69
429,1.0,1.125,67
430,0.8,1.05,102
431,0.9625,1.4583333333333335,64
432,0.9375,1.4875,106
433,1.375,1.75,54
434,1.0,1.6,103
435,1.0,1.0,62
436,1.0,1.0,82
437,1.0,1.0,71
438,1.0,1.0,67
439,1.275,1.35,58
440,1.5,1.5,56
441,1.0,1.0,74
442,1.0,1.0,43
443,1.0,1.0,65
444,0.9333333333333333,1.3666666666666667,88
445,0.9875,1.0,44
446,0.7999999999999999,1.6333333333333333,77
447,1.0,1.0,56
448,0.55,1.55,54
449,0.8444444444444444,1.288888888888889,77
450,0.7999999999999999,1.3,64
451,1.15,1.4,67
452,0.875,1.125,41
453,0.8333333333333334,1.8333333333333335,64
454,1.0,1.0,65
455,1.25,1.75,41
456,1.8,1.75,63
457,1.8,1.9,76
458,0.6875,1.6875,59
459,1.0,1.0,44
460,1.0,1.0,57
461,1.0,1.0,49
462,1.0,1.0,63
463,0.4,1.9,49
464,0.9,1.1,85
465,1.0,1.125,42
466,1.0,1.0,30
467,1.3,1.9,82
468,1.2,1.2,63
469,1.0,1.0,62
470,1.1,1.4,47
471,1.0,1.0,51
472,1.3375,1.7,59
473,1.0,1.0,61
474,1.0,1.05,72
475,1.0,1.0,99
476,1.0,2.0,33
477,1.25,1.5,58
478,0.7375,1.675,89
479,0.5,1.5,29
480,1.2,1.5,39
481,1.5,1.5,79
482,0.4,1.95,46
483,1.2,1.2,63
484,0.9,1.1,80
485,1.1363636363636362,1.4545454545454546,59
486,1.0,1.0,70
487,1.0,2.0,73
488,1.0,1.0,56
489,1.1181818181818182,1.4272727272727272,59
490,1.4166666666666667,1.5833333333333335,64
491,1.0,1.0,66
492,1.0681818181818181,1.2272727272727273,107
493,1.0,1.0,73
494,1.1363636363636362,1.4545454545454546,50
495,1.0,1.0,71
496,1.175,1.45,81
497,1.375,1.75,114
498,0.75,1.25,59
499,1.8,1.75,57
500,1.1363636363636362,1.4545454545454546,121
501,1.0,1.1,74
502,1.0,1.0,77
503,1.1,1.45,74
504,1.0,1.0,26
505,1.0,1.0,57
506,1.0,1.0,44
507,1.0,1.0,93
508,1.0,1.0,70
509,1.1363636363636362,1.4545454545454546,56
510,1.0,2.0,83
511,1.0,1.0,20
512,1.0,1.0,73
513,0.5,2.0,84
514,1.5,2.0,32
515,1.0,1.0,82
516,1.0,1.0,61
517,0.5,1.2999999999999998,63
518,1.2,1.2,44
519,1.0,2.0,75
520,0.95,1.85,80
521,1.0,1.0,44
522,1.0,1.0,42
523,1.0,1.0,83
524,1.1363636363636362,1.4545454545454546,61
525,1.7,1.6,54
526,1.0,1.0,81
527,1.4,2.0,66
528,1.3787878787878787,1.2515151515151515,57
529,1.0,1.0,22
530,1.0,1.0,31
531,0.9854166666666666,1.153125,85
532,1.2556818181818181,1.6022727272727273,60
533,0.75,2.0,65
534,0.9,1.4,76
535,0.85,1.65,53
536,1.0,1.0,71
537,1.1363636363636362,1.5,60
538,1.25,1.3,92
539,1.0,1.0,58
540,1.1,1.25,86
541,1.0,1.1,90
542,1.0,1.1,49
543,1.0,1.0,67
544,1.125,1.375,78
545,1.0,1.0,58
546,1.2,1.2,80
547,0.75,1.9166666666666667,69
548,1.5,1.5,59
549,0.4,1.8,67
550,0.9,1.1,79
551,0.8,1.6,40
552,1.0,1.0,28
553,1.0,1.0,58
554,1.0,1.0,42
555,1.0,1.0,42
556,1.35,1.35,55
557,1.0,1.0,27
558,1.0,1.6,53
559,1.1278409090909092,1.4428030303030304,60
560,1.0,1.1,58
561,1.0,1.05,79
562,1.3,1.9,43
563,1.0,1.0,70
564,1.0,1.0,70
565,0.95,1.06875,68
566,1.0,1.0,57
567,1.0,1.0,63
568,1.5,1.5,51
569,1.25,1.3333333333333333,59
570,1.5,1.5,85
571,1.2,1.4,79
572,1.2142857142857142,1.4285714285714286,106
573,1.0,1.0,77
574,1.0,1.625,54
575,1.1,1.3,67
576,0.19999999999999996,1.2,48
577,1.325,1.35,86
578,1.0,1.0,51
579,1.0,1.0,66
580,1.0,1.0,55
581,1.0,1.0,61
582,1.0,1.0,90
583,1.0,1.1,69
584,1.3699999999999999,1.5911111111111111,84
585,0.9,1.1,51
586,1.2,1.5,32
587,0.9,1.2,60
588,0.9,1.1,83
589,1.0,1.0,57
590,0.8444444444444444,1.288888888888889,70
591,0.9,1.4,69
592,0.8111111111111111,1.3444444444444443,80
593,0.7928571428571429,1.6011904761904763,56
594,1.0,2.0,69
595,1.0,1.0,65
596,0.8125,1.5,78
597,1.0,1.0,97
598,1.0,1.0,55
599,1.0,1.0,16
600,0.5,1.2999999999999998,45
601,0.7,1.95,81
602,1.3333333333333333,1.5,98
603,1.0,1.0,80
604,1.0,1.0,46
605,1.0,1.0,60
606,1.05,1.1333333333333333,69
607,1.0,1.0,39
608,1.0,1.0,49
609,1.5444444444444443,1.577777777777778,55
610,1.0,1.0,45
611,1.5,1.6,59
612,1.0,1.0,50
613,1.0,1.0,72
614,0.75,1.15,116
615,1.5,1.6,28
616,1.0882575757575759,1.4636363636363636,76
617,0.2857142857142857,1.8571428571428572,47
618,1.0,1.0,37
619,1.1444444444444444,1.6222222222222222,68
620,0.9388888888888889,1.1777777777777778,98
621,0.4,2.0,77
622,1.0,2.0,57
623,0.8181818181818181,1.6606060606060606,56
624,1.0,1.0,67
625,0.5,1.9,52
626,1.15,1.7000000000000002,78
627,1.0,1.1,55
628,1.0,1.0,82
629,0.8,1.5666666666666667,104
630,1.25,1.5,57
631,1.5499999999999998,1.7166666666666668,45
632,1.0,1.0,55
633,0.6,1.55,22
634,0.675,1.475,74
635,1.0,1.0,37
636,0.9,1.4,49
637,1.0,1.0,56
638,1.0,1.0,56
639,1.0,1.0,63
640,1.0,1.0666666666666667,96
641,1.0,1.05,84
642,0.95,1.7,74
643,1.0,1.0,48
644,1.2,1.1,83
645,1.0,1.0,54
646,1.0,1.0,38
647,0.7,1.85,70
648,1.0,1.0,75
649,1.25,1.3,114
650,1.3166666666666667,1.7333333333333334,86
651,1.0681818181818181,1.2772727272727273,55
652,1.073611111111111,1.6972222222222222,105
653,0.6375,1.95,68
654,1.0,1.0,41
655,1.2166666666666666,1.3666666666666667,40
656,1.8,2.0,29
657,1.0,1.0,52
658,0.5,1.9,73
659,1.0,1.0,80
660,1.0,1.0,31
661,0.85,1.4125,70
662,1.25,1.5,31
663,0.7,1.6,86
664,1.0,1.0,62
665,1.0,1.0,31
666,1.1363636363636362,1.4545454545454546,47
667,0.95,1.95,55
668,1.0,1.0,77
669,1.0,2.0,74
670,1.0,1.0,66
671,1.0,1.0,39
672,0.6,1.85,82
673,1.0,1.0,17
674,1.0,1.0,60
675,1.0,1.0,72
676,0.7121212121212122,1.6515151515151514,51
677,1.0,1.0,76
678,0.8,1.8,93
679,0.675,1.7999999999999998,73
680,0.5,1.9,50
681,1.5,1.8333333333333335,71
682,1.0,1.0,59
683,1.0,1.3333333333333333,62
684,0.5333333333333333,1.8,87
685,1.0,2.0,83
686,1.0,1.0,57
687,1.5,1.5,110
688,1.0,1.1,74
689,0.55,1.6,100
690,1.25,1.3333333333333333,66
691,1.0,1.0,67
692,0.8125,1.5,59
693,1.0,1.0,38
694,0.8444444444444444,1.288888888888889,57
695,2.0,2.0,61
696,0.75,1.45,48
697,1.0,1.0,73
698,1.0,1.0,87
699,0.8333333333333334,1.1666666666666667,70
700,1.1363636363636362,1.4545454545454546,59
701,0.8454545454545455,1.4737373737373738,96
702,1.0,1.0,56
703,1.1363636363636362,1.5,90
704,1.75,1.95,52
705,0.6,1.4,28
706,1.0,1.0,74
707,1.0,1.0,42
708,1.0,1.0,41
709,1.0,1.0,73
710,1.2666666666666666,1.6166666666666667,65
711,1.0,1.0,76
712,1.0,1.0,15
713,1.0,1.0,47
714,1.0,1.0,50
715,0.5,1.5,56
716,1.0,1.0,13
717,1.0,1.5,63
718,1.0,1.0,53
719,1.0,1.2,90
720,1.1363636363636362,1.4545454545454546,80
721,1.1,1.1833333333333333,46
722,1.55,1.95,73
723,1.0,1.1,88
724,1.0,1.0,55
725,1.0,1.1,45
726,1.0,1.0,61
727,1.0,1.5,22
728,0.8166666666666667,1.4166666666666667,73
729,1.5,1.9,103
730,1.0,1.0,60
731,0.7431818181818182,1.7022727272727272,72
732,1.0,1.0,29
733,1.0,1.0,72
734,1.4,1.4,47
735,0.6,1.8,58
736,1.7,1.8,72
737,1.0,1.0,74
738,1.0,1.0,64
739,0.19999999999999996,2.0,70
740,1.0,1.0,56
741,1.1,1.9,46
742,0.0,2.0,78
743,1.2142857142857142,1.4285714285714286,60
744,1.0,1.0,92
745,1.5,1.5,51
746,1.0,1.0,71
747,1.0,1.0,43
748,1.0,1.3,36
749,1.15,1.15,71
750,1.0,1.0,70
751,0.44285714285714284,1.7785714285714285,97
752,1.4452380952380952,1.3952380952380952,79
753,0.95,1.6,77
754,1.0,1.3571428571428572,78
755,1.1875,1.375,32
756,1.2,1.1,100
757,1.0,1.05,70
758,1.0,1.0,78
759,1.0,1.0,59
760,1.3333333333333333,1.5,76
761,0.42222222222222217,1.6444444444444444,55
762,1.0,1.0,76
763,0.6666666666666667,1.3333333333333333,99
764,0.7,1.4,54
765,1.85,2.0,77
766,1.0,1.15,31
767,1.4,1.375,40
768,1.1363636363636362,1.4545454545454546,81
769,1.0,1.0,38
770,1.0,1.0,63
771,1.0,1.0,75
772,2.0,2.0,59
773,1.0,1.0,35
774,1.1363636363636362,1.4545454545454546,55
775,1.0,2.0,53
776,1.0,1.0,53
777,1.375,1.75,86
778,1.5,2.0,59
779,1.0,1.0,45
780,1.0,1.0,57
781,0.6,1.6,25
782,1.0,1.475,75
783,1.0,1.0,26
784,0.9681818181818181,1.6272727272727274,49
785,1.0,1.0,85
786,0.7,1.5,62
787,1.0,1.0,42
788,1.0,1.0,67
789,1.0,1.0,73
790,1.0,1.1,59
791,1.375,2.0,46
792,1.5,1.5,86
793,1.1625,1.35,106
794,1.0,1.0,25
795,1.0,1.0,35
796,1.5,1.8333333333333335,90
797,0.55,1.75,100
798,1.0,1.0,67
799,1.0,1.1,61
800,2.0,1.3,42
801,1.1,1.3833333333333333,60
802,0.6,1.4,14
803,1.0,1.0,60
804,1.0,1.0,79
805,1.2,1.3,65
806,0.6,1.6,20
807,1.0,1.0,23
808,1.5,1.8333333333333335,25
809,1.0,1.0,91
810,1.4,1.8,36
811,1.0,1.0,88
812,1.1,1.4,71
813,0.5,1.3,67
814,0.625,1.5,55
815,1.0,1.1666666666666667,78
816,1.0,1.1785714285714286,41
817,1.018181818181818,1.3272727272727272,67
818,0.9285714285714286,1.1428571428571428,70
819,1.3333333333333333,1.6666666666666665,52
820,1.0,1.0,70
821,0.6814814814814816,1.7462962962962965,96
822,2.0,2.0,33
823,1.5,1.6,91
824,0.9,1.1,99
825,1.4931818181818182,1.7272727272727273,123
826,1.0,1.0,76
827,1.0,1.0,74
828,1.25,1.35,30
829,1.0,1.0,44
830,0.5833333333333335,1.472222222222222,57
831,1.0,1.0,35
832,0.9375,1.25,78
833,1.0,1.0,33
834,1.0,1.0,65
835,0.825,1.15,71
836,1.0,1.0,100
837,1.2857142857142856,1.5357142857142856,70
838,1.0,1.0,47
839,1.0,1.0,34
840,0.5,2.0,62
841,0.5,2.0,102
842,1.1363636363636362,1.4545454545454546,90
843,1.0,1.0,75
844,1.0,1.0,50
845,1.5,2.0,38
846,1.0,1.0,42
847,1.1,1.4,29
848,1.25,1.5,57
849,1.35,1.65,61
850,0.8,1.0,55
851,1.3,1.1,35
852,1.0,2.0,90
853,1.0,1.0,29
854,1.1363636363636362,1.4545454545454546,55
855,1.0,1.0,31
856,0.75,1.8888888888888888,39
857,1.5,2.0,67
858,1.0,1.0,73
859,0.925,1.875,75
860,1.1363636363636362,1.4545454545454546,76
861,1.0,1.0,61
862,0.9166666666666666,1.0833333333333333,67
863,1.0,1.0,57
864,1.0,1.0,42
865,1.375,1.9444444444444444,45
866,1.6,2.0,35
867,0.575,1.7999999999999998,84
868,1.0,1.1,37
869,0.8333333333333334,1.1666666666666667,50
870,1.0,1.0,51
871,0.6,1.4,66
872,1.0,1.0,26
873,0.8,1.3,76
874,1.0,1.0,60
875,1.16,1.54,73
876,1.4090909090909092,1.571969696969697,115
877,0.9666666666666667,1.3666666666666667,62
878,0.8,1.05,63
879,1.0,1.0,35
880,1.0,1.0,91
881,1.0,1.0,82
882,1.1333333333333333,1.2222222222222223,124
883,1.0,1.0,40
884,1.125,1.1583333333333332,64
885,1.0,1.0,82
886,1.2142857142857142,1.4285714285714286,44
887,1.1363636363636362,1.4545454545454546,64
888,1.0,1.0,60
889,1.0,1.0,94
890,1.0,1.0,78
891,1.0,1.0,79
892,1.1363636363636362,1.4545454545454546,65
893,1.0,1.0,97
894,1.0,1.0,45
895,1.3,1.5625,81
896,1.625,1.5,73
897,0.9,1.2,55
898,1.2,1.8,84
899,1.0,1.0,28
900,1.0,1.0333333333333334,77
901,1.1181818181818182,1.418939393939394,67
902,1.0,1.0,66
903,1.0,1.0,35
904,1.0,1.0,57
905,1.0,1.0666666666666667,71
906,1.0,1.0,14
907,1.0,1.0,47
908,1.1363636363636362,1.4545454545454546,64
909,1.0,1.0,70
910,1.0,1.625,60
911,1.0,1.0,58
912,1.0,1.0,78
913,1.0,1.0,50
914,1.0,1.0,32
915,0.5,2.0,47
916,1.2166666666666668,1.4666666666666668,60
917,1.0,1.0,66
918,1.0,1.0,53
919,1.0333333333333334,1.0666666666666667,27
920,1.8,2.0,52
921,1.0,1.0,70
922,1.4,1.7,89
923,1.0625,1.5,44
924,1.3181818181818181,1.4772727272727273,74
925,1.0,1.0,18
926,1.0,1.0,61
927,1.0,1.0,39
928,1.1363636363636362,1.4545454545454546,36
929,1.0,1.0,64
930,1.0,1.0,68
931,1.2857142857142856,1.5357142857142856,46
932,1.4333333333333333,1.7333333333333334,52
933,1.45,1.5,51
934,1.7,1.6,57
935,1.0,1.0666666666666667,91
936,1.0,1.0,72
937,0.4,1.9,64
938,1.4681818181818183,1.7272727272727273,60
939,1.0,1.0,22
940,1.0,1.0,79
941,0.7,1.1,49
942,1.0,1.0,51
943,1.0,1.0,38
944,1.0909090909090908,1.303030303030303,26
945,1.0,1.0,53
946,1.0,1.0,50
947,1.0,1.0,47
948,1.2556818181818181,1.6022727272727273,45
949,0.8,1.25,46
950,1.0,1.0,54
951,1.0,1.0,42
952,1.0,1.0,61
953,1.5,1.5,50
954,1.4681818181818183,1.4272727272727272,105
955,1.0,1.0,66
956,1.0,1.0,63
957,1.0,1.0,48
958,1.1363636363636362,1.4545454545454546,75
959,1.0,1.0,57
960,1.0,1.25,86
961,1.0,1.0,61
962,1.0,1.0,60
963,0.5,2.0,54
964,1.1363636363636362,1.4545454545454546,67
965,1.0,1.4166666666666665,84
966,1.0,1.0,32
967,0.85,1.5,60
968,1.5,1.5,68
969,1.0,1.0,69
970,1.0,1.0,44
971,1.0,1.0,48
972,1.0,1.0,84
973,1.0,1.0,86
974,0.0,2.0,48
975,1.0,1.0,59
976,0.5,1.5833333333333335,85
977,1.0,1.0,94
978,0.8444444444444444,1.288888888888889,71
979,1.0,1.0,77
980,1.0,1.0,77
981,1.0833333333333333,1.1833333333333333,47
982,1.0,1.0,67
983,1.0,1.0,48
984,0.75,1.25,67
985,1.15,1.45,104
986,2.0,2.0,54
987,1.0,1.0,55
988,1.1363636363636362,1.4545454545454546,44
989,1.0,1.3,72
990,1.0,1.0,27
991,1.0,1.0,89
992,1.0,1.0,77
993,1.0,1.0,42
994,1.0,1.0,60
995,1.0,1.0,53
996,1.0,1.4,60
997,1.1363636363636362,1.4545454545454546,74
998,1.0,1.0,64
999,1.1363636363636362,1.4545454545454546,62
1000,1.0,1.0,53
1001,1.0,1.0,69
1002,0.6,1.6,28
1003,0.95,1.0,51
1004,1.0,1.0,74
1005,1.5681818181818181,1.3772727272727272,60
1006,1.0,1.0,24
1007,1.0,1.2,70
1008,1.5,1.8888888888888888,80
